id,transaction_date,type,category_id,contact_id,property_id,event_id,egg_sale_id,inventory_movement_id,description,amount,payment_method,reference_number,notes,created_at,etims_invoice_id
1,2024-01-15,capital_injection,1,1,,,,,Owner capital injection — initial business setup fund,2000000,Bank Transfer,BT5586193,Veronica's personal savings — seed capital,2024-01-15T13:36:00,
2,2024-01-16,expense,24,,,,,,Business registration — county government,15000,Bank Transfer,BT1266249,Nairobi County business permit,2024-01-16T15:57:00,
3,2024-01-17,expense,24,,,,,,Food handlers certificate & health inspection,8000,M-Pesa,SUUXLE78JF,Public health compliance,2024-01-17T11:37:00,
4,2024-01-18,expense,8,10,4,,,,Casual labour — grounds preparation,1500,Cash,,Day hire for landscaping work,2024-01-18T14:06:00,
5,2024-01-18,expense,15,,4,,,,Landscaping design consultation,25000,M-Pesa,SJDR11687Z,Garden designer walkthrough,2024-01-18T17:29:00,
6,2024-01-19,expense,6,6,,,,,Casual security — site watch during setup,1500,Cash,,Day hire guard,2024-01-19T09:36:00,
7,2024-01-20,expense,15,,4,,,,Tree trimming and hedge shaping,18000,Cash,,3 casual workers for 2 days,2024-01-20T12:25:00,
8,2024-01-20,expense,8,9,4,,,,Casual labour — grounds preparation,1500,Cash,,Day hire for landscaping work,2024-01-20T16:01:00,
9,2024-01-21,expense,15,,4,,,,Lawn re-seeding and soil preparation,35000,M-Pesa,SRM3K8NFSY,Kikuyu grass seed + topsoil,2024-01-21T16:17:00,
10,2024-01-22,expense,6,5,,,,,Casual security — site watch during setup,1500,Cash,,Day hire guard,2024-01-22T08:20:00,
11,2024-01-22,expense,8,12,4,,,,Casual labour — grounds preparation,1500,Cash,,Day hire for landscaping work,2024-01-22T12:21:00,
12,2024-01-22,capital_injection,1,1,,,,,Owner capital injection — property prep and inventory,1500000,Bank Transfer,BT7133553,Second tranche for renovations and equipment,2024-01-22T16:09:00,
13,2024-01-22,expense,15,,4,,,,Flower beds and ornamental plants,22000,M-Pesa,SRZD4QYQ94,Plants from Limuru nursery,2024-01-22T16:58:00,
14,2024-01-23,expense,15,,4,,,,Pathway gravel and stepping stones,28000,Cash,,Delivered from quarry,2024-01-23T13:49:00,
15,2024-01-24,expense,8,13,4,,,,Casual labour — grounds preparation,1500,Cash,,Day hire for landscaping work,2024-01-24T08:50:00,
16,2024-01-24,expense,15,,4,,,,Irrigation system installation,45000,M-Pesa,SWAPNC5E7Q,Drip irrigation for gardens,2024-01-24T15:29:00,
17,2024-01-25,expense,15,,4,,,,Outdoor lighting installation — garden paths,32000,M-Pesa,SMS37M4F9B,Solar path lights + wiring,2024-01-25T11:20:00,
18,2024-01-25,expense,6,4,,,,,Casual security — site watch during setup,1500,M-Pesa,SBJVETNZQN,Day hire guard,2024-01-25T14:50:00,
19,2024-01-26,expense,22,17,1,,,,"Cleaning equipment — mops, brooms, buckets, supplies",8500,M-Pesa,SGZUPGYSLY,Bulk purchase from Mama Njeri's,2024-01-26T09:33:00,
20,2024-01-26,expense,8,13,4,,,,Casual labour — grounds preparation,1500,Cash,,Day hire for landscaping work,2024-01-26T13:42:00,
21,2024-01-27,expense,22,16,4,,,,"Garden tools — wheelbarrows, hoses, rakes, pangas, mower",55000,M-Pesa,SCX7KJFQPE,Bulk purchase from Eastleigh Hardware,2024-01-27T13:35:00,
22,2024-01-28,expense,6,6,,,,,Casual security — site watch during setup,1500,Cash,,Day hire guard,2024-01-28T08:23:00,
23,2024-01-28,expense,22,15,1,,,,"Kitchen equipment — pots, pans, knives, blender, kettle, thermos",52000,M-Pesa,S5MHZTTT7S,Bulk purchase from Nairobi Provisions,2024-01-28T17:57:00,
24,2024-01-29,expense,22,15,1,,,,"Dining cutlery — plates, bowls, forks, knives, spoons, glasses (120 sets)",95000,Bank Transfer,BT3311123,Large order from Nairobi Provisions,2024-01-29T08:47:00,
25,2024-01-29,expense,22,15,1,,,,"Serving ware — dishes, trays, jugs, salt & pepper sets",28000,M-Pesa,SU8YA3T0AD,Complement to cutlery order,2024-01-29T11:19:00,
26,2024-01-29,expense,14,43,,,,,Kenya Power — meter upgrade & deposit,15000,Bank Transfer,BT7792544,Commercial meter installation,2024-01-29T17:42:00,
27,2024-01-30,expense,6,6,,,,,Casual security — site watch during setup,1500,M-Pesa,STM2ZO4CTJ,Day hire guard,2024-01-30T09:24:00,
